    id     |                                           name                                            |   amount   
-----------+-------------------------------------------------------------------------------------------+------------
 C00000935 | Adelstein,Liston, LLC                                                                     |   86900.00
 C00000935 | Adelstein,Liston, LLC                                                                     |   86900.00
 C00000935 | Adelstein,Liston, LLC                                                                     |   86900.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |    9150.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |    9200.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |    9800.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10000.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10000.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10000.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10060.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10060.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10060.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10150.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10150.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10150.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10200.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10250.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10250.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10300.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10450.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10520.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10600.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10770.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   10777.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   11000.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   11150.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   11400.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   11500.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   12750.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   13808.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   14211.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   15150.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   15450.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   15800.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   17550.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   19500.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   21192.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   23000.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   24380.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   26500.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   30855.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   36572.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   49290.00
 C00000935 | ADELSTEIN,LISTON, LLC                                                                     |   55863.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    7268.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    8070.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    8432.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    9101.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    9528.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    9587.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    9634.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |    9742.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |   10950.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |   12139.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |   12433.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |   17636.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |   17765.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |   19408.00
 C00000935 | AKPD MESSAGE AND MEDIA, LLC                                                               |   19814.00
 C00000935 | Angerholzer Broz Consulting, LLC                                                          |    6124.00
 C00000935 | Anzalone Liszt Research, Inc.                                                             |   10000.00
 C00000935 | BlueWest Media                                                                            |   81300.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    5420.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    5500.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6000.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6000.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6050.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6050.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6050.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6108.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6108.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6161.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6161.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6161.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6161.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6281.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6284.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6284.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6285.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6562.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6562.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    6562.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7088.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7445.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7445.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7445.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7445.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7445.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7500.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7500.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7572.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7572.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7572.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7573.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7588.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7588.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7588.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7892.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7892.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7892.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7892.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7892.00
 C00000935 | BULLY PULPIT INTERACTIVE, LLC                                                             |    7892.00
