    id     |   amount   
-----------+------------
 C00000935 |    5061.00
 C00000935 |    5061.00
 C00000935 |    5110.00
 C00000935 |    5110.00
 C00000935 |    5233.00
 C00000935 |    5349.00
 C00000935 |    5403.00
 C00000935 |    5418.00
 C00000935 |    5420.00
 C00000935 |    5500.00
 C00000935 |    5500.00
 C00000935 |    5633.00
 C00000935 |    5635.00
 C00000935 |    5635.00
 C00000935 |    5720.00
 C00000935 |    5720.00
 C00000935 |    5750.00
 C00000935 |    5803.00
 C00000935 |    5823.00
 C00000935 |    5828.00
 C00000935 |    5836.00
 C00000935 |    5924.00
 C00000935 |    5924.00
 C00000935 |    5942.00
 C00000935 |    5957.00
 C00000935 |    6000.00
 C00000935 |    6000.00
 C00000935 |    6001.00
 C00000935 |    6016.00
 C00000935 |    6016.00
 C00000935 |    6019.00
 C00000935 |    6019.00
 C00000935 |    6034.00
 C00000935 |    6050.00
 C00000935 |    6050.00
 C00000935 |    6050.00
 C00000935 |    6104.00
 C00000935 |    6104.00
 C00000935 |    6108.00
 C00000935 |    6108.00
 C00000935 |    6124.00
 C00000935 |    6161.00
 C00000935 |    6161.00
 C00000935 |    6161.00
 C00000935 |    6161.00
 C00000935 |    6192.00
 C00000935 |    6262.00
 C00000935 |    6281.00
 C00000935 |    6284.00
 C00000935 |    6284.00
 C00000935 |    6285.00
 C00000935 |    6382.00
 C00000935 |    6472.00
 C00000935 |    6562.00
 C00000935 |    6562.00
 C00000935 |    6562.00
 C00000935 |    6832.00
 C00000935 |    6972.00
 C00000935 |    7000.00
 C00000935 |    7011.00
 C00000935 |    7049.00
 C00000935 |    7049.00
 C00000935 |    7060.00
 C00000935 |    7088.00
 C00000935 |    7093.00
 C00000935 |    7106.00
 C00000935 |    7159.00
 C00000935 |    7175.00
 C00000935 |    7236.00
 C00000935 |    7252.00
 C00000935 |    7268.00
 C00000935 |    7445.00
 C00000935 |    7445.00
 C00000935 |    7445.00
 C00000935 |    7445.00
 C00000935 |    7445.00
 C00000935 |    7500.00
 C00000935 |    7500.00
 C00000935 |    7502.00
 C00000935 |    7545.00
 C00000935 |    7572.00
 C00000935 |    7572.00
 C00000935 |    7572.00
 C00000935 |    7573.00
 C00000935 |    7588.00
 C00000935 |    7588.00
 C00000935 |    7588.00
 C00000935 |    7625.00
 C00000935 |    7700.00
 C00000935 |    7705.00
 C00000935 |    7734.00
 C00000935 |    7845.00
 C00000935 |    7892.00
 C00000935 |    7892.00
 C00000935 |    7892.00
 C00000935 |    7892.00
 C00000935 |    7892.00
 C00000935 |    7892.00
 C00000935 |    7892.00
 C00000935 |    7960.00
 C00000935 |    8070.00
 C00000935 |    8074.00
 C00000935 |    8140.00
 C00000935 |    8206.00
 C00000935 |    8234.00
 C00000935 |    8325.00
 C00000935 |    8325.00
 C00000935 |    8432.00
 C00000935 |    8442.00
 C00000935 |    8500.00
 C00000935 |    8550.00
 C00000935 |    8591.00
 C00000935 |    8653.00
 C00000935 |    8673.00
 C00000935 |    8690.00
 C00000935 |    8748.00
 C00000935 |    8748.00
 C00000935 |    8785.00
 C00000935 |    8817.00
 C00000935 |    8839.00
 C00000935 |    8874.00
 C00000935 |    8890.00
 C00000935 |    8890.00
 C00000935 |    8946.00
 C00000935 |    9040.00
 C00000935 |    9040.00
 C00000935 |    9040.00
 C00000935 |    9050.00
 C00000935 |    9101.00
 C00000935 |    9103.00
 C00000935 |    9119.00
 C00000935 |    9150.00
 C00000935 |    9158.00
 C00000935 |    9162.00
 C00000935 |    9162.00
 C00000935 |    9162.00
 C00000935 |    9162.00
 C00000935 |    9162.00
